,/out- X,/out- Y,/out+ Y,/net2 Y,/net02 Y,/net07 Y
654,1.9614911546256297,0.061755062265692176,0.07740079573758606,0.2433910512696488,0.25,0.024037278865640742
655,1.963730289885897,0.060490978706889485,0.07858128619044594,0.2424039890870443,0.25,0.02409325724714743
656,1.9661827461005092,0.05933380669585608,0.07967804923328663,0.2414957535708017,0.25,0.024154568652512733
657,1.968890643104607,0.05835784593880555,0.08063096048486436,0.2407277486169271,0.25,0.02422226607761518
658,1.9719055159898828,0.057664475964784474,0.08135080886292982,0.2401884246113245,0.25,0.024297637899747083
659,1.975321072001686,0.05739526262291035,0.08170967745057924,0.2400020347913531,0.25,0.02438302680004215
660,1.9793569059446332,0.05779352986170341,0.08149063266336846,0.2403723678956027,0.25,0.02448392264861584
661,1.984356905944633,0.05934944155196292,0.08024929490496774,0.2416789930680301,0.25,0.02460892264861583
662,1.9893569059446332,0.06200455085507139,0.07798623098798382,0.243800136374823,0.25,0.02473392264861583
663,1.992156159921853,0.06391783959498723,0.07634961272429906,0.2452686753840265,0.25,0.024803903998046318
664,1.9947872295860758,0.06591794084185199,0.07460413072808313,0.2467829655254521,0.25,0.02486968073965189
665,1.997261054801252,0.06790219823828385,0.07281849741828744,0.2482875519182057,0.25,0.02493152637003129
666,1.999418968624366,0.06965073491632709,0.07118757824247683,0.2496350083080558,0.25,0.02498547421560916
667,2.001380900200955,0.07120556526286898,0.06968186747016998,0.2508665569777153,0.25,0.02503452250502388
668,2.003292166256315,0.07265223761343848,0.06822904136041001,0.2520538091788382,0.25,0.02508230415640789
669,2.005232214442123,0.07402691673605838,0.0668038119764974,0.2532285996619172,0.25,0.02513080536105307
670,2.0072742818722342,0.0753554426074727,0.06539292031636748,0.2544130875555201,0.25,0.02518185704680586
671,2.009509262709611,0.07666049151368615,0.06398785070440413,0.2556256463790943,0.25,0.02523773156774028
672,2.012062856355179,0.07795190136964761,0.06258942584075325,0.2568742073484711,0.25,0.02530157140887947
673,2.015081876511795,0.0791958712540034,0.06124376203301999,0.2581203010916356,0.25,0.025377046912794868
674,2.018862434478681,0.0803048951642673,0.06003800372962061,0.2592655991057966,0.25,0.02547156086196703
675,2.023816718833867,0.08096669440410903,0.059250706502763414,0.2599723747901411,0.25,0.02559541797084668
676,2.028816718833867,0.08068801550045854,0.059343614438153724,0.2597138276050546,0.25,0.02572041797084668
677,2.033816718833867,0.07946664168063866,0.06032695006852092,0.2585044232937687,0.25,0.02584541797084668
678,2.038816718833867,0.07734496065749542,0.062209053305366226,0.2564625467766873,0.25,0.02597041797084667
679,2.043816718833867,0.07439990774222963,0.0649578784168914,0.2537880711538929,0.25,0.02609541797084667
680,2.046739899097675,0.0723889299766674,0.0669402247751411,0.2520340872646709,0.25,0.02616849747744188
681,2.049539990261021,0.07031216285873185,0.06902747812087058,0.25028899240207697,0.25,0.026238499756525518
682,2.052078933330598,0.06834113275709916,0.07099744754680512,0.2486974790793349,0.25,0.02630197333326496
683,2.05425730686869,0.06662647555502926,0.07268125305664347,0.2473568414559385,0.25,0.02635643267171726
684,2.056237244615867,0.06508812794280139,0.07415949385893203,0.2461805712855463,0.25,0.026405931115396682
685,2.0581667379944735,0.06364360407102032,0.07551995465670809,0.2450909234190723,0.25,0.026454168449861832
686,2.060148861275082,0.06225159227769296,0.07681340549863337,0.24404673646598898,0.25,0.02650372153187706
687,2.0622645986762067,0.060903795407786475,0.07806189617079383,0.2430342878638301,0.25,0.02655661496690518
688,2.06458262326264,0.05962346937707341,0.07925761387696625,0.2420667382042448,0.25,0.02661456558156601
689,2.067146056707247,0.05847528225464582,0.08035224727836328,0.2411930922196059,0.25,0.02667865141768119
690,2.069996609307553,0.05755203976015115,0.08126684974341472,0.2404900933934626,0.25,0.02674991523268882
691,2.0731939457007154,0.05697741767376134,0.08188941891576029,0.2400643169225954,0.25,0.02682984864251789
692,2.076881473102931,0.056933022906604874,0.08205584637804632,0.2400697942964366,0.25,0.02692203682757327
693,2.0813713853106184,0.057777821770873664,0.08144626531463864,0.2407906598415629,0.25,0.02703428463276545
694,2.0863713853106183,0.05985113920146121,0.0797282335595426,0.2424456935426078,0.25,0.02715928463276545
695,2.091371385310618,0.06300408206260577,0.07700042598356008,0.2448401953936503,0.25,0.02728428463276544
696,2.0948975552766584,0.06574386830047663,0.0745987651504178,0.2468486769672636,0.25,0.02737243888191644
697,2.0973884313728592,0.0678341500949298,0.07273896070957889,0.2483664567725032,0.25,0.02743471078432147
698,2.099490113491233,0.06961792935160796,0.0711000588364566,0.2496796836587443,0.25,0.027487252837280818
699,2.101448017416717,0.071238765935724,0.06954651526668974,0.2509085615044288,0.25,0.027536200435417917
700,2.103348867019109,0.07273435804090009,0.06804862813898745,0.2520886627373465,0.25,0.027583721675477717
701,2.105251511097157,0.07412885017372628,0.06659724311493999,0.25324007242845104,0.25,0.02763128777742893
702,2.107247300807099,0.07546781702838341,0.06516444583110098,0.2543978686228105,0.25,0.02768118252017748
703,2.109455288631465,0.07679645858047347,0.06372309702643635,0.2555975764696736,0.25,0.027736382215786632
704,2.11203353318826,0.07814030673064347,0.06226211443659665,0.2568608148752388,0.25,0.02780083832970649
705,2.115161272060277,0.07946385409997479,0.06083308220660012,0.2581493139974919,0.25,0.02787903180150694
706,2.119184528935645,0.0806505015531242,0.05955099829304425,0.2593398204176702,0.25,0.027979613223391132
707,2.124184528935645,0.08127176080694934,0.058803126851143785,0.2599868764346709,0.25,0.028104613223391132
708,2.129184528935645,0.0809137593079094,0.058965206997471764,0.2596563474035863,0.25,0.028229613223391133
709,2.134184528935645,0.07958945166170782,0.06004017328159846,0.2583805878089102,0.25,0.028354613223391133
710,2.139184528935645,0.0773401063190694,0.062042423519143935,0.2562844778885093,0.25,0.02847961322339112
711,2.1441845289356447,0.07424170674405557,0.06494334134552791,0.2535731994858488,0.25,0.02860461322339112
712,2.147035431196979,0.07219076085493871,0.06697576802999791,0.2518519407655839,0.25,0.02867588577992447
713,2.149795591153961,0.07005707435335147,0.06913033893318457,0.2501284303349217,0.25,0.028744889778849037
714,2.152302112035254,0.0680323049337008,0.07115935173437313,0.2485585789890865,0.25,0.02880755280088135
715,2.154439543375199,0.06628438595642439,0.07287636767309237,0.2472465867131049,0.25,0.028860988584379986
